Station,Latitude,Longitude
00001187,33.91,-5.69788
000017A7,33.9283,-5.2756
000017B2,34.0367,-5.09491
00001D73,33.2875,-5.33901
0000208C,33.2875,-5.24802
0000208E,33.3854,-4.74199
00002091,33.8878,-5.04372
0000209B,34.2154,-3.99805
000020C7,34.4663,-4.68379
0000255D,32.454365,-5.741904
00203660,33.841,-5.4739
00203F1B,33.78723141589477,-5.710604746222949
002040BB,33.84316,-5.473943
00204C0F,34.1877,-4.26667
002057D4,34.4274,-4.17536
00206457,34.321202,-5.215769
00206947,33.822688,-4.472553
0020F03C,33.64832,-5.580626
0020F048,34.0328,-5.10526
0020F218,33.9328,-5.22085
