00001187Date,00001187Temperature,000017A7Date,000017A7Temperature,0000208CDate,0000208CTemperature,0000208EDate,0000208ETemperature,00002091Date,00002091Temperature,0000209BDate,0000209BTemperature,000020C7Date,000020C7Temperature,0000255DDate,0000255DTemperature,00203660Date,00203660Temperature,00203F1BDate,00203F1BTemperature,002040BBDate,002040BBTemperature,00204C0FDate,00204C0FTemperature,002057D4Date,00206457Date,00206947Date,0020F03CDate,0020F048Date,0020F218Date
2023-03-29 13:21:00,30.0,2023-10-23 20:00:00,14.37,2023-12-25 08:00:00,4.09,2023-12-25 08:00:00,0.1,2023-12-25 08:00:00,3.58,2023-12-25 08:00:00,1.15,2023-12-25 08:00:00,4.08,2023-12-25 09:30:00,6.61,2023-06-15 15:00:00,29.51,2023-12-25 09:00:00,10.97,2023-12-25 06:00:00,1.96,2023-12-25 09:00:00,0.29,2023-12-25 06:00:00,2023-12-24 14:00:00,2023-12-25 09:00:00,2023-12-25 08:00:00,2023-12-25 08:00:00,2023-12-25 09:00:00
2023-03-29 14:21:00,29.94,2023-10-23 21:00:00,14.55,2023-12-25 09:00:00,3.96,2023-12-25 09:00:00,1.27,2023-12-25 09:00:00,5.85,2023-12-25 09:00:00,2.34,2023-12-25 09:00:00,8.16,2023-12-25 10:30:00,12.27,2023-06-15 16:00:00,26.53,2023-12-25 10:00:00,14.0,2023-12-25 07:00:00,3.49,2023-12-25 10:00:00,4.02,2023-12-25 07:00:00,2023-12-24 15:00:00,2023-12-25 10:00:00,2023-12-25 09:00:00,2023-12-25 09:00:00,2023-12-25 10:00:00
2023-03-29 15:21:00,30.39,2023-10-23 22:00:00,14.5,2023-12-25 10:00:00,2.04,2023-12-25 10:00:00,3.07,2023-12-25 10:00:00,6.77,2023-12-25 10:00:00,2.25,2023-12-25 10:00:00,12.13,2023-12-25 11:30:00,16.59,2023-06-15 17:00:00,23.51,2023-12-25 11:00:00,16.31,2023-12-25 08:00:00,3.33,2023-12-25 11:00:00,9.14,2023-12-25 08:00:00,2023-12-24 16:00:00,2023-12-25 11:00:00,2023-12-25 10:00:00,2023-12-25 10:00:00,2023-12-25 11:00:00
2023-03-29 16:21:00,30.23,2023-10-23 23:00:00,14.28,2023-12-25 11:00:00,0.43,2023-12-25 11:00:00,5.64,2023-12-25 11:00:00,6.93,2023-12-25 11:00:00,1.41,2023-12-25 11:00:00,15.46,2023-12-25 12:30:00,18.94,2023-06-15 18:00:00,20.51,2023-12-25 12:00:00,17.63,2023-12-25 09:00:00,4.77,2023-12-25 12:00:00,13.87,2023-12-25 09:00:00,2023-12-24 17:00:00,2023-12-25 12:00:00,2023-12-25 11:00:00,2023-12-25 11:00:00,2023-12-25 12:00:00
2023-03-29 17:21:00,29.64,2023-10-24 00:00:00,14.37,2023-12-25 12:00:00,0.24,2023-12-25 12:00:00,8.28,2023-12-25 12:00:00,6.94,2023-12-25 12:00:00,1.09,2023-12-25 12:00:00,17.58,2023-12-25 13:30:00,19.89,2023-06-15 19:00:00,18.49,2023-12-25 13:00:00,18.32,2023-12-25 10:00:00,8.76,2023-12-25 13:00:00,17.27,2023-12-25 10:00:00,2023-12-24 18:00:00,2023-12-25 13:00:00,2023-12-25 12:00:00,2023-12-25 12:00:00,2023-12-25 13:00:00
2023-03-29 18:21:00,27.74,2023-10-24 01:00:00,14.73,2023-12-25 13:00:00,1.57,2023-12-25 13:00:00,11.11,2023-12-25 13:00:00,6.56,2023-12-25 13:00:00,1.52,2023-12-25 13:00:00,18.92,2023-12-25 14:30:00,19.62,2023-06-15 20:00:00,16.29,2023-12-25 14:00:00,18.26,2023-12-25 11:00:00,11.46,2023-12-25 14:00:00,19.41,2023-12-25 11:00:00,2023-12-24 19:00:00,2023-12-25 14:00:00,2023-12-25 13:00:00,2023-12-25 13:00:00,2023-12-25 14:00:00
2023-03-29 19:21:00,24.64,2023-10-24 02:00:00,15.47,2023-12-25 14:00:00,2.26,2023-12-25 14:00:00,13.9,2023-12-25 14:00:00,5.75,2023-12-25 14:00:00,2.79,2023-12-25 14:00:00,18.38,2023-12-25 15:30:00,18.67,2023-06-15 21:00:00,14.44,2023-12-25 15:00:00,17.38,2023-12-25 12:00:00,10.74,2023-12-25 15:00:00,20.21,2023-12-25 12:00:00,2023-12-24 20:00:00,2023-12-25 15:00:00,2023-12-25 14:00:00,2023-12-25 14:00:00,2023-12-25 15:00:00
2023-03-29 20:21:00,21.68,2023-10-24 03:00:00,16.0,2023-12-25 15:00:00,2.51,2023-12-25 15:00:00,16.13,2023-12-25 15:00:00,5.88,2023-12-25 15:00:00,4.54,2023-12-25 15:00:00,16.4,2023-12-25 16:30:00,17.16,2023-06-15 22:00:00,13.02,2023-12-25 16:00:00,16.09,2023-12-25 13:00:00,11.0,2023-12-25 16:00:00,20.45,2023-12-25 13:00:00,2023-12-24 21:00:00,2023-12-25 16:00:00,2023-12-25 15:00:00,2023-12-25 15:00:00,2023-12-25 16:00:00
2023-03-29 21:21:00,19.76,2023-10-24 04:00:00,16.69,2023-12-25 16:00:00,3.73,2023-12-25 16:00:00,17.07,2023-12-25 16:00:00,7.95,2023-12-25 16:00:00,6.26,2023-12-25 16:00:00,13.64,2023-12-25 17:30:00,15.1,2023-06-15 23:00:00,12.25,2023-12-25 17:00:00,14.58,2023-12-25 14:00:00,10.67,2023-12-25 17:00:00,19.67,2023-12-25 14:00:00,2023-12-24 22:00:00,2023-12-25 17:00:00,2023-12-25 16:00:00,2023-12-25 16:00:00,2023-12-25 17:00:00
2023-03-29 22:21:00,16.83,2023-10-24 05:00:00,16.89,2023-12-25 17:00:00,6.62,2023-12-25 17:00:00,17.2,2023-12-25 17:00:00,11.27,2023-12-25 17:00:00,7.72,2023-12-25 17:00:00,11.17,2023-12-25 18:30:00,13.09,2023-06-16 00:00:00,11.49,2023-12-25 18:00:00,13.5,2023-12-25 15:00:00,8.33,2023-12-25 18:00:00,17.5,2023-12-25 15:00:00,2023-12-24 23:00:00,2023-12-25 18:00:00,2023-12-25 17:00:00,2023-12-25 17:00:00,2023-12-25 18:00:00
2023-03-29 23:21:00,15.82,2023-10-24 06:00:00,17.04,2023-12-25 18:00:00,9.76,2023-12-25 18:00:00,16.21,2023-12-25 18:00:00,13.54,2023-12-25 18:00:00,8.79,2023-12-25 18:00:00,10.14,2023-12-25 19:30:00,11.06,2023-06-16 01:00:00,10.9,2023-12-25 19:00:00,12.45,2023-12-25 16:00:00,8.75,2023-12-25 19:00:00,14.58,2023-12-25 16:00:00,2023-12-25 00:00:00,2023-12-25 19:00:00,2023-12-25 18:00:00,2023-12-25 18:00:00,2023-12-25 19:00:00
2023-03-30 00:21:00,15.02,2023-10-24 07:00:00,17.42,2023-12-25 19:00:00,11.39,2023-12-25 19:00:00,14.11,2023-12-25 19:00:00,12.91,2023-12-25 19:00:00,9.32,2023-12-25 19:00:00,9.23,2023-12-25 20:30:00,9.7,2023-06-16 02:00:00,10.95,2023-12-25 20:00:00,11.74,2023-12-25 17:00:00,11.57,2023-12-25 20:00:00,11.95,2023-12-25 17:00:00,2023-12-25 01:00:00,2023-12-25 20:00:00,2023-12-25 19:00:00,2023-12-25 19:00:00,2023-12-25 20:00:00
